S_INFO_WINDCODE,S_VAL_MV
001298.SZ,488008.7520
601518.SH,487762.7176
002766.SZ,487428.0784
002827.SZ,486864.0000
300968.SZ,484894.7400
301398.SZ,484240.0000
603998.SH,481948.0475
002749.SZ,481858.6053
600825.SH,481693.2989
301255.SZ,481331.2000
600796.SH,480955.1001
300388.SZ,479488.0328
688618.SH,477726.5583
605179.SH,476388.0000
601368.SH,474156.5423
688510.SH,474132.0857
001319.SZ,473831.4000
002790.SZ,473449.3159
688010.SH,473174.0478
001300.SZ,472193.9454
688358.SH,472044.3008
002870.SZ,471510.0205
600679.SH,471494.2452
001223.SZ,471360.9200
688135.SH,470484.9882
601599.SH,470019.6935
601010.SH,469392.0000
603768.SH,469200.0000
688049.SH,468480.0000
300434.SZ,468433.3548
688087.SH,468369.3956
688628.SH,468183.8684
301004.SZ,467792.0000
688590.SH,466869.8570
300917.SZ,466440.0000
688282.SH,466400.0000
688302.SH,465571.3418
301093.SZ,464797.7611
603166.SH,464624.0201
002995.SZ,464398.3742
002846.SZ,464092.9678
603009.SH,463479.2750
301369.SZ,462563.3811
688787.SH,462090.8788
300654.SZ,461742.4084
301338.SZ,461350.4000
300609.SZ,459571.7210
688737.SH,458846.8530
603861.SH,458649.4157
605268.SH,456281.4450
000826.SZ,456113.0394
601366.SH,455399.3495
603230.SH,454984.1010
002029.SZ,454913.3400
002973.SZ,454844.0927
301277.SZ,454290.8400
002554.SZ,453891.0692
688418.SH,453241.0100
603211.SH,451744.8960
688468.SH,451526.0000
605098.SH,451060.2520
688101.SH,450404.1200
600592.SH,450296.8745
300135.SZ,448819.2000
301120.SZ,448700.7944
688195.SH,448456.4500
000802.SZ,448153.5596
688210.SH,447523.4068
002269.SZ,447225.0000
600829.SH,447094.1083
003028.SZ,446809.7615
002392.SZ,446434.0646
600676.SH,446365.9377
000753.SZ,446166.4820
300939.SZ,443280.0000
301132.SZ,442852.4100
300834.SZ,442245.3019
300051.SZ,441764.0175
301257.SZ,441636.3600
301062.SZ,441231.7636
605588.SH,440478.4162
301196.SZ,440044.8000
002750.SZ,439348.5000
600469.SH,439129.4243
301127.SZ,438720.9552
002341.SZ,437841.5450
600794.SH,437586.9287
000404.SZ,435693.4829
600168.SH,435675.7909
301086.SZ,435420.0000
688310.SH,434069.2359
300538.SZ,434057.7152
603551.SH,433836.0000
605006.SH,433537.8606
600853.SH,433363.3871
300491.SZ,432318.4625
301208.SZ,432300.2162
002228.SZ,432283.4639
300537.SZ,431609.6778
002255.SZ,431242.7802
301190.SZ,430131.5460
301270.SZ,429600.0000
301289.SZ,429000.0000
605128.SH,428806.2605
002002.SZ,427719.9099
000701.SZ,427424.7819
600345.SH,427284.0000
605277.SH,426890.0622
301282.SZ,426365.8497
603661.SH,425266.9808
301128.SZ,425069.7364
603516.SH,424454.3546
002173.SZ,424345.6841
600843.SH,424334.0556
605218.SH,423964.2523
002037.SZ,423398.1203
605289.SH,423192.2625
600613.SH,422450.6577
301201.SZ,422214.0257
300200.SZ,421922.7687
301230.SZ,420804.6241
688589.SH,420788.1017
300310.SZ,420551.1193
301356.SZ,419256.0000
688159.SH,418728.5548
600215.SH,418064.5591
