category,count
6115000000,206
6127000000,203
6103000000,186
6108000000,162
6130000000,136
6126000000,115
6129000000,86
6116000000,75
6131000000,73
6105000000,68
6114000000,60
6125000000,59
6132000000,58
6112000000,54
6118000000,48
6101000000,46
6117000000,43
6128000000,40
6120000000,36
6111000000,32
6124000000,32
6113000000,27
6102000000,22
6123000000,15
6121000000,14
6104000000,12
6134000000,10
6133000000,8
