category,count
6115000000,62
6108000000,56
6103000000,47
6130000000,30
6126000000,28
6127000000,26
6134000000,23
6105000000,21
6116000000,18
6112000000,18
6129000000,18
6131000000,16
6128000000,14
6101000000,12
6117000000,12
6132000000,11
6111000000,11
6124000000,10
6104000000,9
6114000000,9
6102000000,8
6118000000,7
6133000000,6
6120000000,5
6113000000,4
6123000000,3
6125000000,2
6121000000,1
